mes,unidad,categoria,concepto,importe_eur
2026-01,EJEMPLO Apartamento Centro,alquiler,Renta mensual master lease,1200.00
2026-01,EJEMPLO Apartamento Centro,comunidad,Cuota comunidad enero,85.00
2026-01,EJEMPLO Apartamento Centro,suministros,Luz y agua enero,140.50
2026-01,EJEMPLO Apartamento Centro,limpieza_extra,Limpieza profunda post-obra,90.00
2026-01,EJEMPLO Apartamento Centro,seguros,Seguro hogar prorrateado,22.00
2026-01,EJEMPLO Apartamento Centro,ibi_tasas,IBI prorrateado,45.00
2026-01,EJEMPLO Apartamento Centro,mantenimiento,Fontanero reparacion grifo,60.00
2026-01,EJEMPLO Apartamento Centro,gestion,Gestoria mensual,50.00
2026-01,EJEMPLO Apartamento Centro,marketing,Fotografia listing,0.00
2026-01,EJEMPLO Apartamento Centro,otros,Repuesto cerradura,18.00
